"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR025464,ERR025464,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025465,ERR025465,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025468,ERR025468,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025469,ERR025469,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025470,ERR025470,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025471,ERR025471,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025472,ERR025472,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025473,ERR025473,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025475,ERR025475,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025477,ERR025477,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025478,ERR025478,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025479,ERR025479,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025482,ERR025482,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025483,ERR025483,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025484,ERR025484,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025485,ERR025485,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025486,ERR025486,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025489,ERR025489,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025491,ERR025491,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025494,ERR025494,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025495,ERR025495,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025496,ERR025496,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025497,ERR025497,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
